condition_id,n,surrogate_hit_rate,model_tag,seed
10,91,0.02197802197802198,small_latent,42
11,40,0.0,small_latent,42
12,120,0.058333333333333334,small_latent,42
13,74,0.013513513513513514,small_latent,42
14,53,0.0,small_latent,42
15,111,0.06306306306306306,small_latent,42
16,105,0.05714285714285714,small_latent,42
17,63,0.015873015873015872,small_latent,42
18,67,0.014925373134328358,small_latent,42
19,114,0.05263157894736842,small_latent,42
20,92,0.03260869565217391,small_latent,42
21,99,0.020202020202020204,small_latent,42
22,68,0.04411764705882353,small_latent,42
23,80,0.0375,small_latent,42
24,106,0.0660377358490566,small_latent,42
25,69,0.014492753623188406,small_latent,42
26,83,0.04819277108433735,small_latent,42
0,56,0.017857142857142856,small_latent,52
1,114,0.043859649122807015,small_latent,52
2,120,0.016666666666666666,small_latent,52
3,72,0.05555555555555555,small_latent,52
4,56,0.03571428571428571,small_latent,52
5,95,0.07368421052631578,small_latent,52
6,62,0.016129032258064516,small_latent,52
7,46,0.021739130434782608,small_latent,52
8,93,0.021505376344086023,small_latent,52
9,40,0.0,small_latent,52
10,91,0.04395604395604396,small_latent,52
11,40,0.0,small_latent,52
12,120,0.025,small_latent,52
13,74,0.02702702702702703,small_latent,52
14,53,0.03773584905660377,small_latent,52
15,111,0.05405405405405406,small_latent,52
16,105,0.05714285714285714,small_latent,52
17,63,0.0,small_latent,52
18,67,0.014925373134328358,small_latent,52
19,114,0.017543859649122806,small_latent,52
20,92,0.06521739130434782,small_latent,52
21,99,0.020202020202020204,small_latent,52
22,68,0.07352941176470588,small_latent,52
23,80,0.0375,small_latent,52
24,106,0.05660377358490566,small_latent,52
25,69,0.014492753623188406,small_latent,52
26,83,0.03614457831325301,small_latent,52
0,56,0.05357142857142857,small_latent,62
1,114,0.02631578947368421,small_latent,62
2,120,0.041666666666666664,small_latent,62
3,72,0.05555555555555555,small_latent,62
4,56,0.05357142857142857,small_latent,62
5,95,0.05263157894736842,small_latent,62
6,62,0.06451612903225806,small_latent,62
7,46,0.0,small_latent,62
8,93,0.03225806451612903,small_latent,62
9,40,0.0,small_latent,62
10,91,0.08791208791208792,small_latent,62
11,40,0.0,small_latent,62
12,120,0.058333333333333334,small_latent,62
13,74,0.013513513513513514,small_latent,62
14,53,0.05660377358490566,small_latent,62
15,111,0.05405405405405406,small_latent,62
16,105,0.0761904761904762,small_latent,62
17,63,0.047619047619047616,small_latent,62
18,67,0.04477611940298507,small_latent,62
19,114,0.02631578947368421,small_latent,62
20,92,0.043478260869565216,small_latent,62
21,99,0.04040404040404041,small_latent,62
22,68,0.04411764705882353,small_latent,62
23,80,0.025,small_latent,62
24,106,0.04716981132075472,small_latent,62
25,69,0.08695652173913043,small_latent,62
26,83,0.04819277108433735,small_latent,62
