model_tag,metric,mean,ci_low,ci_high,n
no_condition,val_recon_condition_fidelity,0.04466666666666667,0.042,0.046000000000000006,3
no_condition,test_loss,2.363948260043402,2.3605054329926114,2.3688757095516855,3
no_condition,test_recon_loss,2.363948260043402,2.3605054329926114,2.3688757095516855,3
no_condition,test_raw_kl,0.0,0.0,0.0,3
no_condition,test_free_kl,0.0,0.0,0.0,3
no_condition,test_aux_condition_loss,0.0,0.0,0.0,3
no_condition,test_token_acc,0.2985820734784912,0.2952205950307775,0.30065254124428514,3
no_condition,test_active_units_main,,,,0
no_condition,test_mean_latent_var,,,,0
no_condition,test_mean_mu_abs,,,,0
no_condition,test_mean_kl_per_dim,,,,0
no_condition,test_recon_subset_n,500.0,500.0,500.0,3
no_condition,test_recon_edit_distance_mean,0.686471033451387,0.6848922846720603,0.6893951959811514,3
no_condition,test_recon_exact_rate,0.0,0.0,0.0,3
no_condition,test_recon_condition_fidelity,0.05933333333333333,0.046000000000000006,0.068,3
no_condition,gen_n_generated,2189.0,2189.0,2189.0,3
no_condition,gen_valid_rate,0.9923861732906959,0.9917770671539515,0.9926907263590681,3
no_condition,gen_novelty_rate,1.0,1.0,1.0,3
no_condition,gen_uniqueness_rate,0.999847723465814,0.9995431703974417,1.0,3
no_condition,gen_low_complexity_rate,0.01842546063651591,0.01735952489721334,0.019186843307446324,3
no_condition,gen_exact_train_overlap_rate,0.0,0.0,0.0,3
no_condition,gen_nn_similarity_train_mean,0.09524053523162908,0.09482885730331041,0.09562464818619824,3
no_condition,gen_condition_fidelity,0.041876046901172526,0.04020100502512563,0.043398812243033345,3
no_condition,gen_per_condition_surrogate_hit_mean,0.037216298266775645,0.03544686398430468,0.038734680500696235,3
no_condition,gen_pairwise_diversity,0.9976293145220815,0.997534515360235,0.9977532218291114,3
no_condition,val_beta,1.0,1.0,1.0,3
no_condition,val_n,13248.0,13248.0,13248.0,3
no_condition,val_active_units_thr_0.001,,,,0
no_condition,val_active_units_thr_0.01,,,,0
no_condition,val_active_units_thr_0.05,,,,0
no_condition,val_kl_dim_00,,,,0
no_condition,val_kl_dim_01,,,,0
no_condition,val_kl_dim_02,,,,0
no_condition,val_kl_dim_03,,,,0
no_condition,val_kl_dim_04,,,,0
no_condition,val_kl_dim_05,,,,0
no_condition,val_kl_dim_06,,,,0
no_condition,val_kl_dim_07,,,,0
no_condition,val_kl_dim_08,,,,0
no_condition,val_kl_dim_09,,,,0
no_condition,val_kl_dim_10,,,,0
no_condition,val_kl_dim_11,,,,0
no_condition,val_kl_dim_12,,,,0
no_condition,val_kl_dim_13,,,,0
no_condition,val_kl_dim_14,,,,0
no_condition,val_kl_dim_15,,,,0
no_condition,val_kl_dim_16,,,,0
no_condition,val_kl_dim_17,,,,0
no_condition,val_kl_dim_18,,,,0
no_condition,val_kl_dim_19,,,,0
